Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
しのごの言うと石炭にしちまうよ,しのごの 言[い]うと 石炭[せきたん]にしちまうよ,しのごの言うと石炭にしちまうよ,"<img src=""Spirited_Away_-_ja_-_Jap_3535490.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3535275.mp3],Phàn nàn là thành than đá ngay đó. Rõ chứ?,군소리하면<br>석탄으로 만들어버릴 테다,这[zhè]…[…<br>]<[nǐ]b[zài]r[luō]>[luō]你[suo]再[suo]啰[ ]啰[wǒ]嗦[jiù]嗦[bǎ] 我[biàn]就[chéng]把[méi]你[huī],這[zhè]…[…<br>]<[nǐ]b[zài]r[luō]>[luō]妳[suō]再[suō]囉[，]囉[jiù]唆[ràng]唆[nǐ]，[dāng]就[méi]讓[huī],One peep out of you and you're coal.<br>Got that?,Eh...<br>Una sola queja sobre ti y eres carbón.,¡Una sola palabra<br>y te conviertes en carbón!,石炭[せきたん]＝ 燃料[ねんりょう]になる 黒[くろ]い 鉱物[こうぶつ],しのごの＝ 細[こま]かく 文句[もんく]を 言[い]う 様子[ようす],〜と〜： 条件[じょうけん]を 表[あらわ]す,〜ちまう：〜してしまう（ 口語[こうご]）,石炭[せきたん]を 燃[も]やして 電気[でんき]を 作[つく]る。,しのごの 言[い]わずに 手伝[てつだ]え。,ボタンを 押[お]すと 音[おと]が 鳴[な]る。,宿題[しゅくだい]を 忘[わす]れちまった。,[sound:hypertts-718cad9268386aa8f2fe3b6516c96fd24b6e4ff597f9210125613f97.mp3],[sound:hypertts-0b902d18bda4bb3f90a23a786800dab614653b37578b01fcd96be23d.mp3],[sound:hypertts-120deb04da5da4f41273ec90899c6e179af7a1580325fda6a054daa5.mp3],[sound:hypertts-61771c894c51b51c6d8bcfb0e451b12b09ee6c9f6c5f2bbe79160cd1.mp3]
おやめ！　お客さんに失礼(しつれい)だよ,おやめ！　お 客[きゃく]さんに 失礼[しつれい]だよ,おやめお客さんに失礼だよ,"<img src=""Spirited_Away_-_ja_-_Jap_3550672.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3550672.mp3],Dừng lại! Vậy là vô lễ với khách hàng!,"안 돼, 그건 무례한 짓이야!",不[bù]行[xíng] 对[duì]客[kè]人[rén]太[tài]失[shī]礼[lǐ]了[le],不[bù]行[xíng]這[zhè]樣[yàng]，[，]對[duì]客[kè]人[rén]太[tài]失[shī]禮[lǐ]了[le],Don't insult the customer.,No lo insultes.,¡No seas grosera con el cliente!,失礼[しつれい]＝ 礼儀[れいぎ]に 反[はん]すること,お 客[きゃく]さん＝ 店[みせ]などに 来[く]る 人[ひと],命令形[めいれいけい]： 相手[あいて]に 強[つよ]く 指示[しじ],,人[ひと]の 話[はなし]をさえぎるのは 失礼[しつれい]だ。,お 客[きゃく]さんがたくさん 来[き]た。,早[はや]く 帰[かえ]れ！,,[sound:hypertts-398a1184fa1ad897f062b5194351c509d91820743c5352ebce71e3fb.mp3],[sound:hypertts-ce93a63065aea3b88529a7c544e4ea7ba4cd02587d36ee90a5732e36.mp3],[sound:hypertts-7b4c6fb759a726ecd2621b83da8dbfe81b441e240f1be303118ba673.mp3],
千！　はやくお受け取りな,千[せん]！ 早[はや]くお 受け取[うけと]りな,千早くお受け取りな,"<img src=""Spirited_Away_-_ja_-_Jap_3569732.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3569732.mp3],Sen! Mau nhận tiền của khách!,"센, 안 받고 뭐 해?",小[xiǎo]千[qiān] 赶[gǎn]快[kuài]收[shōu]下[xià],小[xiǎo]千[qiān]…[…]趕[gǎn]快[kuài]收[shōu]下[xià],"Sen, hurry, take it.","Sen, vamos, tómalo.","¡Sen, cógelo, rápido!",受け取[うけと]る＝ 手[て]に 入[い]れる、 受領[じゅりょう]する,,〜な： 命令[めいれい]や 禁止[きんし]（ 口語[こうご]）,,荷物[にもつ]を 受け取[うけと]った。,,静[しず]かにな！,,[sound:hypertts-41b850518d29d65d6b60a0c00522943cbd7483f64ef7fa28e76a55b9.mp3],,[sound:hypertts-50ef7b8943ad62a01db77a453cd8595f56ec36811b47314e5d6827ec.mp3],
（湯婆婆(ゆばーば)）何してるんだい<br>早く ご案内(あんない)しな,（ 湯婆婆[ゆばーば]） 何[なに]してるんだい<br> 早[はや]くご 案内[あんない]しな,何してるんだい早くご案内しな,"<img src=""Spirited_Away_-_ja_-_Jap_3581953.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3581820.mp3],Còn đứng nghệch ra đó làm gì?<br>Mau dẫn đường cho ngài ấy.,뭐 하고 있어?<br>냉큼 안내해드려,你[nǐ]还[hái]在[zài]做[zuò]什[shén]么[me]？[？]快[kuài]招[zhāo]呼[hū]客[kè]人[rén]啊[a],妳[nǐ]在[zài]做[zuò]什[shén]麼[me]？[？]快[kuài]點[diǎn]招[zhāo]呼[hū]啊[a],Zhow him de bazz.,Muéstrale los baños.,"¿Qué haces parada?<br>Rápido, llévalo hasta la bañera.",案内[あんない]＝ 場所[ばしょ]や 手順[てじゅん]を 教[おし]えること,,〜んだい： 理由[りゆう]・ 強調[きょうちょう]（ 口語[こうご] 疑問[ぎもん]）,〜しな： 命令[めいれい]の 口語形[こうごけい],駅[えき]まで 案内[あんない]します。,,どうしたんだい？,宿題[しゅくだい]をやりな。,[sound:hypertts-6dca87e24d99cf36e3c2165d5f4219afb843184765525d1840838d7e.mp3],,[sound:hypertts-df1ebe06429e5c7d771d4f4d2fc85916f98a5b9903df2d187c5560d7.mp3],[sound:hypertts-b213fd4dc1a5abaa1412a0896d1df51deb2bbdefa0f52adeaf5d1362.mp3]
笑(わら)いごとではありません,笑[わら]い 事[ごと]ではありません,笑い事ではありません,"<img src=""Spirited_Away_-_ja_-_Jap_3672418.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3672364.mp3],,웃을 일이 아닙니다,脏[zàng]死[sǐ]了[le]<[<br>]b[zhè]r[kě]>[bú]这[shì]可[kāi]不[wán]是[xiào]开[de],真[zhēn]髒[zāng]<[<br>]b[zhè]r[kě]>[bù]這[hǎo]可[xiào],This is no laughing matter.,No es para reírse.,- No tiene gracia.<br>- Veamos cómo se las arregla.,笑[わら]いごと＝ 冗談[じょうだん]、 軽[かる]く 扱[あつか]うこと,,〜ではありません： 丁寧[ていねい]な 否定[ひてい],,病気[びょうき]は 笑[わら]いごとではない。,,それは 本当[ほんとう]ではありません。,,[sound:hypertts-2f4914bac9cb2af8038114ea5b6a8ab922ceb346d07ee86238e80679.mp3],,[sound:hypertts-3882f238daaa1e9285aa5d066a241154930f25e5329184f1982d8cac.mp3],
おお 足し湯をする気だよ,おお 足[た]し 湯[ゆ]をする 気[き]だよ,おお足し湯をする気だよ,"<img src=""Spirited_Away_-_ja_-_Jap_3680051.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3680051.mp3],"À, nó định xả nước nóng vào bồn.",물을 새로 갈 모양이야,她[tā]想[xiǎng]加[jiā]药[yào]浴[yù]汤[tāng]吧[ba]？[？],她[tā]想[xiǎng]加[jiā]藥[yào]浴[yù]湯[tāng]吧[ba],"Ah, she intends to re-fill the tub.",Quiere volver a llenar la tina.,Pretende volver a llenar la bañera.,足[た]し 湯[ゆ]＝ 湯[ゆ]を 追加[ついか]すること,気[き]＝ 意思[いし]・ 考[かんが]え,〜だよ： 説明[せつめい]や 確認[かくにん],,温泉[おんせん]で 足[た]し 湯[ゆ]をした。,彼[かれ]は 行[い]く 気[き]がない。,明日[あした]が 休[やす]みだよ。,,[sound:hypertts-a9cedd4e12e6a2eb45e7a5b8375e8040a354516095f26cfa9d4ac854.mp3],[sound:hypertts-949208935155f63a2451e4c6f51cbf51a5c7491548a67b3c7753d601.mp3],[sound:hypertts-60a9d4878e019c590c21d02cf72c974814e7f66f04d28539dc0b248d.mp3],
ああ！<br>あんな高価(こうか)な くすり湯を,ああ！<br>あんな 高価[こうか]なくすり 湯[ゆ]を,あああんな高価なくすり湯を,"<img src=""Spirited_Away_-_ja_-_Jap_3744782.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3744782.mp3],"Trời, hết bao nhiêu<br>là nước thảo dược đắt tiền!",저런 비싼 약물을…,那[nà]么[me]高[gāo]级[jí]的[de]药[yào]浴[yù]汤[tāng]！[！],那[nà]麼[me]高[gāo]級[jí]的[de]藥[yào]浴[yù]湯[tāng]！[！],Oh no! All that precious herbal formula!,¡No! ¡Ese baño de hierbas precioso!,¡Toda esa valiosa agua de hierbas!,高価[こうか]＝ 値段[ねだん]が 高[たか]いこと,くすり 湯[ゆ]＝ 薬[くすり]を 入[い]れたお 湯[ゆ],あんな〜： 話し手[はなして]が 強[つよ]い 感情[かんじょう]を 持[も]つ 対象[たいしょう],,その 時計[とけい]は 高価[こうか]だ。,くすり 湯[ゆ]で 体[からだ]を 温[あたた]める。,あんな 景色[けしき]は 初[はじ]めて 見[み]た。,,[sound:hypertts-8a503cf43a3cb9ab399742c60c2856fca7dadae4e4f9cade0e5a05de.mp3],[sound:hypertts-812fb62b8c68653ec6513d9b0330a7cfcd0b2e92077eae18713abf6e.mp3],[sound:hypertts-6c04dbfb631957c2c847a93658c7b2744b87f6ccdbd8d43c0b04e7e0.mp3],
ありがとう　あの<br>ここにトゲみたいのが刺(さ)さってるの,ありがとう　あの<br>ここにトゲみたいのが 刺[さ]さってるの,ありがとうあのここにトゲみたいのが刺さってるの,"<img src=""Spirited_Away_-_ja_-_Jap_3783988.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3783623.mp3],"Cảm ơn ạ. Chị ơi, hình như ngài ấy<br>đang bị gai đâm vào người.","고마워요, 그런데 손님 몸에<br>가시 같은 게 박혀 있어요",谢[xiè]谢[xiè],謝[xiè]謝[xiè],Thank you. He's got a thorn stuck in him.,Gracias. Se le clavó una espina.,Gracias.,トゲ＝ 植物[しょくぶつ]や 魚[さかな]のとげ,刺[さ]さる＝ 鋭[するど]いものが 体[からだ]に 入[はい]る,〜みたい： 例示[れいじ]・ 比喩[ひゆ],〜の： 説明[せつめい]・ 確認[かくにん]（ 口語[こうご]）,バラのトゲに 刺[さ]された。,指[ゆび]に 針[はり]が 刺[さ]さった。,雲[くも]みたいな 形[かたち]。,そこにあるの？,[sound:hypertts-f924311261d488d18a9cdfc3b6273eca54f8d9307f491bdf5dcbf25e.mp3],[sound:hypertts-5a56a90a35e9d24b983e825ce25c725b90795177f1727ad7b1ddb6e7.mp3],[sound:hypertts-548470bedd435addb332a27cc8eb2a1503e2af35d1062b8326e8b332.mp3],[sound:hypertts-31981122ef618276e6754ea40b6a3002e1594ae61e30f5bc887306f5.mp3]
下に人数を集めな<br>（父役）えっ？,下[した]に 人数[にんずう]を 集[あつ]めな<br>（ 父[ちち] 役[やく]）えっ？,下に人数を集めなえっ,"<img src=""Spirited_Away_-_ja_-_Jap_3794123.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3793821.mp3],Mau triệu tập mọi người xuống dưới. Mau!,"밑에 일손을 모아라, 서둘러!",把[bǎ]人[rén]集[jí]合[hé]过[guò]来[lái] 快[kuài]点[diǎn],把[bǎ]人[rén]集[jí]合[hé]過[guò]來[lái]，[，]快[kuài]點[diǎn],Rally the help downstairs.,Reúne a los empleados abajo.,¡Todo el personal abajo! ¡Rápido!,人数[にんずう]＝ 人[ひと]の 数[かず],集[あつ]める＝ 集合[しゅうごう] 同士[どうし]をまとめる,命令形[めいれいけい]（ 口語[こうご]）：〜な,,人数[にんずう]を 数[かぞ]える。,子供[こども]を 集[あつ]める。,荷物[にもつ]を 運[はこ]べな。,,[sound:hypertts-2c754d5a07417ec67630b7c45078b0834ce373e346f2074b61914e21.mp3],[sound:hypertts-c1b021b7a668c8354f53cb9bfc263390199b7673780770a1ab07ed12.mp3],[sound:hypertts-d93d9063cc5aef2ec2f7489ed76d27cd12f813b88df0b11b5d534088.mp3],
このロープをお使い！,このロープをお 使[つか]い！,このロープをお使い,"<img src=""Spirited_Away_-_ja_-_Jap_3806677.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3806677.mp3],Hãy dùng sợi thừng này!,이 밧줄을 써라,用[yòng]这[zhè]根[gēn]绳[shéng]子[zi],用[yòng]這[zhè]根[gēn]繩[shéng]子[zi],Grab this rope.,Tomen esta cuerda.,¡Agarrad esta cuerda!,ロープ＝ 縄[なわ]やひも,,命令形[めいれいけい],,ロープで 船[ふね]をつなぐ。,,ドアを 閉[し]めろ！,,[sound:hypertts-4de56bf89e45375ba13f1771222a0d4e39bf12babda56fca25974a55.mp3],,[sound:hypertts-20ad25b48f4ab8f5e032ae26d5c995b730b4e785e0342507ce25c18d.mp3],
グズグズするんじゃないよ<br>女も力を合わせるんだ,グズグズするんじゃないよ<br> 女[おんな]も 力[ちから]を 合[あ]わせるんだ,グズグズするんじゃないよ女も力を合わせるんだ,"<img src=""Spirited_Away_-_ja_-_Jap_3821275.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3821012.mp3],Đừng lề mề nữa.<br>Đàn bà con gái cũng vào giúp luôn đi.,꾸물대지 마<br>여자들도 힘을 보태,别[bié]慢[màn]吞[tūn]吞[tūn]<[<br>]b[nǚ]r[rén]>[yě]女[yào]人[yòng]也[lì],別[bié]慢[màn]吞[tūn]吞[tūn]的[de]<[<br>]b[nǚ]r[rén]>[yě]女[yào]人[yòng]也[lì]要[ō],"Hustle now,<br>and get the women to help them.",Dense prisa y traigan a las mujeres<br>para que las ayuden.,"¡No perdáis el tiempo,<br>que os ayuden las mujeres!",グズグズ＝ 動作[どうさ]が 遅[おそ]い 様子[ようす],力[ちから]を 合[あ]わせる＝ 協力[きょうりょく]する,〜んじゃない： 禁止[きんし],〜んだ： 強調[きょうちょう]・ 説明[せつめい],グズグズしていて 遅刻[ちこく]した。,みんなで 力[ちから]を 合[あ]わせて 勝[か]った。,触[さわ]るんじゃない！,彼[かれ]は 本気[ほんき]なんだ。,[sound:hypertts-71e9d3a44036cc22466817a01458e4249936ee7c6d75c10f0ddf5399.mp3],[sound:hypertts-2ec014248c917e6cde160d9b403783be38a7441f02bd21865ae66ed0.mp3],[sound:hypertts-e8e1b4c168c73cb48cbdf721e27002172a952a62478d8571981d63a1.mp3],[sound:hypertts-6e62246bdc3b10156fc1dc47ed4d09f2adedf4c3e26a95963013c830.mp3]
よきかな…,良[よ]きかな…,良きかな,"<img src=""Spirited_Away_-_ja_-_Jap_3901689.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3901689.mp3],Làm tốt lắm...,고맙구나,太[tài]棒[bàng]了[le],太[tài]棒[bàng]了[le],Well done...,Bien hecho...,Buen trabajo.,よきかな＝ 古風[こふう]な「よい」,,省略[しょうりゃく] 文[ぶん]： 感嘆[かんたん]の 表現[ひょうげん],,よき 出会[であ]いがあった。,,美[うつく]しいかな、この 景色[けしき]。,,[sound:hypertts-e6400f4ce761b107531cd252db0047f65d3e3091ec8fffaa53915d4d.mp3],,[sound:hypertts-9543b21af1ce2fa16c4e3d37d04f0be218118eaff8e64ccc43df6715.mp3],
静(しず)かにおし！<br>お客様が まだおいでなんだよ,静[しず]かにおし！<br>お 客様[きゃくさま]がまだおいでなんだよ,静かにおしお客様がまだおいでなんだよ,"<img src=""Spirited_Away_-_ja_-_Jap_3938684.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3938316.mp3],Im lặng đi! Khách quý vẫn còn ở đây cơ mà.,조용히 해!<br>아직 손님이 계신다,安[ān]静[jìng]点[diǎn] 客[kè]人[rén]还[hái]在[zài],安[ān]靜[jìng]點[diǎn]，[，]客[kè]人[rén]還[hái]在[zài],Be still. Our guest is still with us.,Quietos. Nuestro cliente aún no se fue.,¡Quietos!<br>Nuestro huésped sigue con nosotros.,お 客様[きゃくさま]＝ 相手[あいて]を 敬[うやま]う 言い方[いいかた],静[しず]かに＝ 音[おと]を 立[た]てず,おし＝「〜しなさい」の 古風[こふう]な 命令[めいれい],まだ〜： 未[み] 完了[かんりょう]を 表[あらわ]す,お 客様[きゃくさま]がお 待[ま]ちです。,図書館[としょかん]では 静[しず]かにする。,早[はや]く 行[い]きおし。,まだ 終[お]わっていない。,[sound:hypertts-b5c522aa45f4d2b2a67393743f420a2c53bfc377b81218a0882eb991.mp3],[sound:hypertts-bef784f6f9f9a3738ba1eaa3099d660491be8820720d1f74a2cf247d.mp3],[sound:hypertts-edc7154c3255eac30b2eb3b17e8107ed28f1bbb79fd9183107dd918e.mp3],[sound:hypertts-b7d53930a40022ae26d27f219a5836f020f3e31ed76e030160899df4.mp3]
千！　よくやったね<br>大儲(おおもう)けだよ,千[せん]！　よくやったね<br> 大儲[おおもう]けだよ,千よくやったね大儲けだよ,"<img src=""Spirited_Away_-_ja_-_Jap_3980518.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3980518.mp3],"Sen! Ngươi giỏi lắm,<br>kiếm bộn tiền luôn đấy!","센, 정말 잘했다<br>이게 웬 횡재냐!",小[xiǎo]千[qiān] 做[zuò]得[dé]好[hǎo] 挣[zhēng]了[le]一[yī]大[dà]笔[bǐ]钱[qián],小[xiǎo]千[qiān]，[，]做[zuò]得[dé]好[hǎo]，[，]賺[zhuàn]了[le]一[yī]大[dà]筆[bǐ],Sen! You did great! You made us a bundle!,"¡Sen, lo hiciste genial!<br>¡Nos hiciste ricos!","¡Buen trabajo, Sen!<br>¡He ganado una fortuna!",大儲[おおもう]け＝ 大[おお]きく 利益[りえき]を 得[え]ること,,よく〜： 称賛[しょうさん]を 表[あらわ]す,〜だよ： 説明[せつめい]・ 強調[きょうちょう],株[かぶ]で 大儲[おおもう]けした。,,よく 頑張[がんば]ったね。,明日[あした]は 休[やす]みだよ。,[sound:hypertts-0944c2a645f6e3a2e4eac430a376ab59bc84470a7fb87967688cc341.mp3],,[sound:hypertts-34238d9d71fdee2e1a2969b1f06208ce5c84e9ab26868e9598de8151.mp3],[sound:hypertts-6a946b08854265a4026367ef7c0285644651006492bf421aec78423b.mp3]
みんなも千を見ならいな,みんなも 千[せん]を 見[み]ならいな,みんなも千を見ならいな,"<img src=""Spirited_Away_-_ja_-_Jap_3988067.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3988067.mp3],Các ngươi cũng phải noi gương Sen đấy.,모두 센을 본받아,大[dà]家[jiā]要[yào]向[xiàng]小[xiǎo]千[qiān]学[xué]习[xí],大[dà]家[jiā]要[yào]向[xiàng]小[xiǎo]千[qiān]學[xué]習[xí],You can all learn from Sen.,Aprendan de Sen.,Aprended todos de Sen.,見[み]ならう＝ 手本[てほん]にして 学[まな]ぶ,,〜な： 命令[めいれい]の 口語[こうご],,先輩[せんぱい]を 見[み]ならう。,,早[はや]く 寝[ね]な。,,[sound:hypertts-abd303eb9852a33c06144770270528c5171c123ecbe4e0cb03dcd857.mp3],,[sound:hypertts-7dd37559bb0f3d69928a411baea2916166404ff8009acb8a16c40bd9.mp3],
（湯婆婆(ゆばーば)）さあ 拾った砂金(さきん)を<br>ぜんぶ出しな,（ 湯婆婆[ゆばーば]）さあ 拾[ひろ]った 砂金[しゃきん]を<br>全部[ぜんぶ]出[だ]しな,さあ拾った砂金を全部出しな,"<img src=""Spirited_Away_-_ja_-_Jap_3992780.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_3992780.mp3],Giờ thì mau nộp lại hết vàng<br>các ngươi đã nhặt.,"자, 주운 사금은<br>전부 내놓거라",把[bǎ]捡[jiǎn]到[dào]的[de]砂[shā]金[jīn]全[quán]部[bù]交[jiāo]出[chū]来[lái],把[bǎ]撿[jiǎn]到[dào]的[de]砂[shā]金[jīn]全[quán]部[bù]交[jiāo]出[chū]來[lái],Now! Time to hand over<br>all that gold you picked up.,¡Ahora devuelvan todo el oro que juntaron!,Entregad ahora todo el oro<br>que habéis recogido.,砂金[しゃきん]＝ 砂[すな]に 含[ふく]まれる 金[きん],出[だ]す＝ 外[そと]に 出[だ]す,〜しな： 命令[めいれい]の 口語[こうご],ぜんぶ〜： 全量[ぜんりょう]・ 全体[ぜんたい]を 表[あらわ]す,川[かわ]で 砂金[しゃきん]を 探[さが]す。,荷物[にもつ]を 出[だ]す。,早[はや]く 食[た]べな。,ぜんぶ 食[た]べた。,[sound:hypertts-38cf0701b77dbc9d01502bd913f21c9df400957edb222a38b81b8255.mp3],[sound:hypertts-844cbb54e1031529abe3df94224b18743591762cd488243ecfdebabd.mp3],[sound:hypertts-1999ec0dd7fa759c16d18c4afd24319564ad92e15b8b8e9a7c23848d.mp3],[sound:hypertts-c1c4132fc3a63d4c05c6a820a617291be32dbd33e61f6ba42e952bda.mp3]
うわさじゃさあ 湯婆婆(ゆばーば)に<br>ヤバイ事やらされてんだって,うわさじゃさあ 湯婆婆[ゆばーば]に<br>ヤバイ 事[ごと]やらされてんだって,うわさじゃさあ湯婆婆にヤバイ事やらされてんだって,"<img src=""Spirited_Away_-_ja_-_Jap_4025021.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_4024775.mp3],"Chị nghe đồn, hắn luôn làm<br>những việc mờ ám theo lệnh của Yubaba.",소문엔 유바바가<br>험한 일을 시켰대,听[tīng]说[shuō]他[tā]在[zài]帮[bāng]汤[tāng]婆[pó]婆[po]做[zuò]坏[huài]事[shì],聽[tīng]說[shuō]他[tā]在[zài]幫[bāng]湯[tāng]婆[pó]婆[po]做[zuò]壞[huài]事[shì],They say Yubaba makes him do bad stuff.,Dicen que Yubaba<br>le hace hacer cosas malas.,Dicen que Yubaba<br>le manda hacer cosas malas.,うわさ＝ 人々[ひとびと]の 話[はなし],やらされる＝ 強制[きょうせい]される,〜てんだ：〜ているんだ（ 口語[こうご]）,〜だって： 伝聞[でんぶん],うわさが 広[ひろ]まる。,宿題[しゅくだい]をやらされた。,雨[あめ]が 降[ふ]ってんだ。,彼[かれ]が 行[い]くんだって。,[sound:hypertts-4ebe29815716e05fee19a0d207ee4d38bb30dfa71a713f278d0e9cb8.mp3],[sound:hypertts-9d367e8ddc0a8b120d2e1e5bc2cfa32661635bdc7ff24b9cae89ccfd.mp3],[sound:hypertts-5c82623e5f5cce6517b1589f211af41f62fd3ffbdb4124e7f0df104f.mp3],[sound:hypertts-c71615d014366edb126f4ab0010ff1bf594784eef52cc046c16b7f96.mp3]
町がある　海みたい,町[まち]がある　 海[うみ]みたい,町がある海みたい,"<img src=""Spirited_Away_-_ja_-_Jap_4057595.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_4057212.mp3],"Thị trấn kìa, nhìn như biển vậy.","마을이 있네, 바다 같아",有[yǒu]城[chéng]镇[zhèn] 好[hǎo]像[xiàng]一[yī]片[piàn]海[hǎi],有[yǒu]城[chéng]鎮[zhèn]，[，]好[hǎo]像[xiàng]海[hǎi],There's a town. Looks like the ocean...,Hay una ciudad. Parece el océano.,Hay una ciudad. Parece un océano.,町[まち]＝ 人[ひと]が 集[あつ]まって 住[す]むところ,みたい＝ 比喩[ひゆ],省略[しょうりゃく] 文[ぶん]： 感嘆[かんたん],〜みたい： 例示[れいじ]・ 比喩[ひゆ],町[まち]を 歩[ある]く。,夢[ゆめ]みたいな 話[はなし]。,すごい 景色[けしき]だ。,彼[かれ]は 先生[せんせい]みたいだ。,[sound:hypertts-9bd492542afa75a80df5a05ed957d096acc47c6d904d9d0da6d56de7.mp3],[sound:hypertts-8c14947746f43b6a5cce1b0db7116f20c4ecae2a969bfc80026091c1.mp3],[sound:hypertts-de5ae4565e8f105e07d5fc522f29541461e87862f2f69635aa084a7d.mp3],[sound:hypertts-5fd32b3c379f927c5b9bc7123cbb64c3b03ff27d758490ffcf9c235a.mp3]
（リン）当たり前じゃん<br>雨が降(ふ)りゃ 海ぐらいできるよ,（リン） 当たり前[あたりまえ]じゃん<br> 雨[う]が 降[ふ]りゃ 海[うみ]ぐらいできるよ,当たり前じゃん雨が降りゃ海ぐらいできるよ,"<img src=""Spirited_Away_-_ja_-_Jap_4060473.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_4060473.mp3],"Đương nhiên. Trời mưa như vậy,<br>có thể thành đại dương đó.",비가 오면 바다가 생기잖아,对[duì]啊[a] 只[zhǐ]要[yào]下[xià]雨[yǔ]就[jiù]会[huì]变[biàn]成[chéng]海[hǎi]了[le],那[nà]當[dāng]然[rán]啊[a]，[，]只[zhǐ]要[yào]下[xià]雨[yǔ]就[jiù]會[huì]變[biàn]成[chéng]海[hǎi]的[de]啊[a],What did you expect after all that rain?,¿Qué esperabas después de tanta lluvia?,Lógico. Cuando llueve se forman océanos.,当たり前[あたりまえ]＝ 当然[とうぜん]のこと,ぐらい＝ 程度[ていど],〜りゃ＝〜れば（ 口語[こうご]）,〜じゃん： 確認[かくにん]・ 共感[きょうかん],約束[やくそく]を 守[まも]るのは 当たり前[あたりまえ]だ。,一 日[にち]ぐらい 休[やす]んでもいい。,そんなこと 言[げん]りゃ 怒[おこ]られるよ。,いい 天気[てんき]じゃん。,[sound:hypertts-1c683853b98dcc981cce8cbdddb7195e4917946d9811187dec23eb30.mp3],[sound:hypertts-9a22f8fca43a23a50bb20569d97bc6a96ee8b4badca9a0af4352f6b1.mp3],[sound:hypertts-a9ba660e30633e9d8152d7a6884f837295eb3528302b0706c706a3a7.mp3],[sound:hypertts-2995e2ac94cd10e20cf4c14811238e7db2e24fb06a7086bf825103ef.mp3]
消灯(しょうとう)時間は とうに過(す)ぎたぞ,消灯[しょうとう] 時間[じかん]はとうに 過[す]ぎたぞ,消灯時間はとうに過ぎたぞ,"<img src=""Spirited_Away_-_ja_-_Jap_4168872.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_4168580.mp3],Đã qua giờ tắt đèn rồi cơ mà.,소등 시간 벌써 지났어,已[yǐ]经[jīng]过[guò]了[le]熄[xī]灯[dēng]时[shí]间[jiān]了[le],已[yǐ]經[jīng]過[guò]了[le]熄[xī]燈[dēng]時[shí]間[jiān]囉[luō],It's way past bedtime.,Ya es hora de dormir.,Es muy tarde.,消灯[しょうとう]＝ 明[あ]かりを 消[け]すこと,とうに＝とっくに,〜ぞ： 強調[きょうちょう]・ 男性的[だんせいてき] 断定[だんてい],,10 時[じ]に 消灯[しょうとう]する。,その 話[はなし]はとうに 知[し]っている。,今日[きょう]は 休[やす]みだぞ。,,[sound:hypertts-eac7ad19f4a744100f239752c70ac08ecda5d60157a468feefcecfdb.mp3],[sound:hypertts-55a606ca7aa2863659e3fd47d0a8276ef47964576f22814457b5734b.mp3],[sound:hypertts-00a59352545d0504a9ad74d0dcdb00df24555fa113729624ca0cbb7c.mp3],
